"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"CONSMA020.062-G","Linx Technologies Inc.","343-CONSMA020.062-G-ND","","","Tray","Active","2","2.96000","$5.92","3206","12 Weeks","CONN SMA FML EDGE MNT 0.062"" PCB","ROHS3 Compliant","Lead free","Not Available"
"XZM2CRK45WT-9","SunLED","1497-1332-1-ND","","","Cut Tape (CT)","Active","1","0.66000","$0.66","0","12 Weeks","LED RED CLEAR 2PLCC SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"XZDGK45WT-9","SunLED","1497-1337-1-ND","","","Cut Tape (CT)","Active","1","0.74000","$0.74","98809","12 Weeks","LED GREEN CLEAR 2PLCC","ROHS3 Compliant","Lead free","Not Available"
"XZMYK45WT-9","SunLED","1497-1334-1-ND","","","Cut Tape (CT)","Active","1","0.54000","$0.54","21248","12 Weeks","LED YELLOW CLEAR 2PLCC SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC1206FR-07330RL","Yageo","311-330FRCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","49548","24 Weeks","RES SMD 330 OHM 1% 1/4W 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"ATTINY85-20SUR","Microchip Technology","ATTINY85-20SURCT-ND","","","Cut Tape (CT)","Active","1","1.19000","$1.19","9808","13 Weeks","IC MCU 8BIT 8KB FLASH 8SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"3034","Keystone Electronics","36-3034-ND","","","Bulk","Active","1","0.31000","$0.31","28716","6 Weeks","BATTERY RETAINER COIN 20MM SMD","ROHS3 Compliant","Lead free","REACH Unaffected"
"IN-S124ARUW","Inolux","1830-1119-1-ND","","","Cut Tape (CT)","Active","2","0.41000","$0.82","54525","6 Weeks","LED WHITE CLEAR 1204 SMD","ROHS3 Compliant","Lead free","Not Available"
"SR99S01VBNN00G7","METZ CONNECT USA Inc.","1849-1167-1-ND","","","Cut Tape (CT)","Active","2","1.16000","$2.32","4646","15 Weeks","TERM BLOCK 1POS SIDE ENTRY PCB","RoHS Compliant","Lead free","Not Available"
"JS202011SCQN","C&K","401-2002-1-ND","","","Cut Tape (CT)","Active","1","0.60000","$0.60","34730","13 Weeks","SWITCH SLIDE DPDT 300MA 6V","ROHS3 Compliant","Lead free","REACH Unaffected"
